id,name_ko,bucket_id,bucket_ko,summary_ko,scene_ko,dialogue_1_ko,dialogue_2_ko,dialogue_3_ko,tags,tone,cash_delta,health_delta,mood_delta,fatigue_delta,image_needed
company_spreadsheet_08,내보내기 형식 정리,spreadsheet,표/데이터 정리,외부 제출용 파일이 시스템 형식과 맞지 않는다. 열 순서와 날짜 형식을 제출 양식에 맞춘다.,"출근 후 사무실 자리에서 내보내기 형식 정리 상황을 마주하고, 열 순서와 날짜 형식을 제출 양식에 맞춘다 장면.",집중해서 한 번에 흐름을 잡자. 외부 제출용 파일이 시스템 형식과 맞지 않는다,내보내기 형식 정리 지금은 열 순서와 날짜 형식을 제출 양식에 맞춘다,업로드 테스트가 통과하자 어깨가 조금 내려간다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_09,담당자 매핑 수정,spreadsheet,표/데이터 정리,업무 표의 담당자가 예전 조직도 기준으로 남아 있다. 현재 담당자 목록과 대조해 소유자를 다시 연결한다.,"출근 후 사무실 자리에서 담당자 매핑 수정 상황을 마주하고, 현재 담당자 목록과 대조해 소유자를 다시 연결한다 장면.",집중해서 한 번에 흐름을 잡자. 업무 표의 담당자가 예전 조직도 기준으로 남아 있다,담당자 매핑 수정 지금은 현재 담당자 목록과 대조해 소유자를 다시 연결한다,누가 답해야 하는지 표에서 바로 보인다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_10,원본 데이터 변경 확인,spreadsheet,표/데이터 정리,원본 파일이 바뀌었다는 알림이 뒤늦게 도착했다. 바뀐 열과 삭제된 항목을 비교해 영향 범위를 적는다.,"출근 후 사무실 자리에서 원본 데이터 변경 확인 상황을 마주하고, 바뀐 열과 삭제된 항목을 비교해 영향 범위를 적는다 장면.",집중해서 한 번에 흐름을 잡자. 원본 파일이 바뀌었다는 알림이 뒤늦게 도착했다,원본 데이터 변경 확인 지금은 바뀐 열과 삭제된 항목을 비교해 영향 범위를 적는다,분석 결과를 고치기 전에 변경점을 먼저 공유한다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_meetings_01,아침 스탠드업 준비,meetings,회의 준비/참석,곧 시작할 스탠드업에서 말할 내용이 아직 흩어져 있다. 어제 한 일과 오늘 막힌 일을 세 줄로 정리한다.,"출근 후 사무실 자리에서 아침 스탠드업 준비 상황을 마주하고, 어제 한 일과 오늘 막힌 일을 세 줄로 정리한다 장면.",일단 지금 보이는 것부터 정리하자. 곧 시작할 스탠드업에서 말할 내용이 아직 흩어져 있다,아침 스탠드업 준비 지금은 어제 한 일과 오늘 막힌 일을 세 줄로 정리한다,짧게 말할 준비가 되자 회의 부담이 줄어든다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_02,결정 회의 안건 정리,meetings,회의 준비/참석,회의가 길어질 조짐이 보이는데 결정할 것은 하나뿐이다. 배경 설명을 줄이고 선택지가 필요한 질문만 남긴다.,"출근 후 사무실 자리에서 결정 회의 안건 정리 상황을 마주하고, 배경 설명을 줄이고 선택지가 필요한 질문만 남긴다 장면.",일단 지금 보이는 것부터 정리하자. 회의가 길어질 조짐이 보이는데 결정할 것은 하나뿐이다,결정 회의 안건 정리 지금은 배경 설명을 줄이고 선택지가 필요한 질문만 남긴다,회의 목적이 화면 맨 위에 고정된다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_03,이슈 회의 자료 열기,meetings,회의 준비/참석,"급하게 잡힌 이슈 회의에 들어가야 한다. 발생 시점과 현재 영향, 임시 대응을 한 페이지에 모은다.","출근 후 사무실 자리에서 이슈 회의 자료 열기 상황을 마주하고, 발생 시점과 현재 영향, 임시 대응을 한 페이지에 모은다 장면.",일단 지금 보이는 것부터 정리하자. 급하게 잡힌 이슈 회의에 들어가야 한다,"이슈 회의 자료 열기 지금은 발생 시점과 현재 영향, 임시 대응을 한 페이지에 모은다",모르는 부분은 모른다고 표시해둔다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_04,회의록 실시간 기록,meetings,회의 준비/참석,"회의가 빠르게 흘러가며 결정 사항이 쌓인다. 결론과 담당자, 마감일만 놓치지 않게 적는다.","출근 후 사무실 자리에서 회의록 실시간 기록 상황을 마주하고, 결론과 담당자, 마감일만 놓치지 않게 적는다 장면.",일단 지금 보이는 것부터 정리하자. 회의가 빠르게 흘러가며 결정 사항이 쌓인다,"회의록 실시간 기록 지금은 결론과 담당자, 마감일만 놓치지 않게 적는다",회의가 끝나기 전에 액션 아이템을 다시 읽어준다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_05,산만한 회의 수습,meetings,회의 준비/참석,참석자들이 서로 다른 문제를 동시에 말하기 시작한다. 지금 결정할 주제와 나중에 볼 주제를 나눠 적는다.,"출근 후 사무실 자리에서 산만한 회의 수습 상황을 마주하고, 지금 결정할 주제와 나중에 볼 주제를 나눠 적는다 장면.",일단 지금 보이는 것부터 정리하자. 참석자들이 서로 다른 문제를 동시에 말하기 시작한다,산만한 회의 수습 지금은 지금 결정할 주제와 나중에 볼 주제를 나눠 적는다,회의가 간신히 다시 한 줄로 돌아온다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_06,침묵하는 회의실,meetings,회의 준비/참석,질문을 던졌지만 회의실이 잠깐 조용해진다. 선택지를 좁혀 다시 물으며 대답할 틈을 만든다.,"출근 후 사무실 자리에서 침묵하는 회의실 상황을 마주하고, 선택지를 좁혀 다시 물으며 대답할 틈을 만든다 장면.",일단 지금 보이는 것부터 정리하자. 질문을 던졌지만 회의실이 잠깐 조용해진다,침묵하는 회의실 지금은 선택지를 좁혀 다시 물으며 대답할 틈을 만든다,한 사람이 말을 꺼내자 논의가 천천히 열린다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_07,시간 초과 방지,meetings,회의 준비/참석,남은 시간이 적은데 안건은 아직 절반이다. 결정이 필요한 항목부터 앞으로 당긴다.,"출근 후 사무실 자리에서 시간 초과 방지 상황을 마주하고, 결정이 필요한 항목부터 앞으로 당긴다 장면.",일단 지금 보이는 것부터 정리하자. 남은 시간이 적은데 안건은 아직 절반이다,시간 초과 방지 지금은 결정이 필요한 항목부터 앞으로 당긴다,미뤄도 되는 논의는 후속 메모로 넘긴다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_08,이해관계자 업데이트,meetings,회의 준비/참석,"다른 팀에 진행 상황을 설명해야 한다. 완료된 일과 리스크, 도움 필요한 일을 나눠 말한다.","출근 후 사무실 자리에서 이해관계자 업데이트 상황을 마주하고, 완료된 일과 리스크, 도움 필요한 일을 나눠 말한다 장면.",일단 지금 보이는 것부터 정리하자. 다른 팀에 진행 상황을 설명해야 한다,"이해관계자 업데이트 지금은 완료된 일과 리스크, 도움 필요한 일을 나눠 말한다",상대가 원하는 깊이에 맞춰 설명을 줄인다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_09,회의 후속 메일,meetings,회의 준비/참석,회의가 끝났지만 결정 사항이 흩어지기 전에 정리해야 한다. 담당자별 할 일을 짧은 메일로 묶는다.,"출근 후 사무실 자리에서 회의 후속 메일 상황을 마주하고, 담당자별 할 일을 짧은 메일로 묶는다 장면.",일단 지금 보이는 것부터 정리하자. 회의가 끝났지만 결정 사항이 흩어지기 전에 정리해야 한다,회의 후속 메일 지금은 담당자별 할 일을 짧은 메일로 묶는다,보내고 나니 회의가 실제 업무로 이어진다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_meetings_10,겹친 회의 조정,meetings,회의 준비/참석,같은 시간에 중요한 회의 두 개가 잡혀 있다. 참석 필요도와 대체 가능성을 비교해 조정안을 보낸다.,"출근 후 사무실 자리에서 겹친 회의 조정 상황을 마주하고, 참석 필요도와 대체 가능성을 비교해 조정안을 보낸다 장면.",일단 지금 보이는 것부터 정리하자. 같은 시간에 중요한 회의 두 개가 잡혀 있다,겹친 회의 조정 지금은 참석 필요도와 대체 가능성을 비교해 조정안을 보낸다,빈틈이 생기자 하루 일정이 덜 꼬인다,"[""work"", ""meeting"", ""communication""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_planning_01,오늘 우선순위 재배치,planning,일정/업무 계획,출근하자마자 어제 계획이 맞지 않다는 걸 깨닫는다. 급한 일과 중요한 일을 다시 나눠 순서를 고친다.,"출근 후 사무실 자리에서 오늘 우선순위 재배치 상황을 마주하고, 급한 일과 중요한 일을 다시 나눠 순서를 고친다 장면.",일단 지금 보이는 것부터 정리하자. 출근하자마자 어제 계획이 맞지 않다는 걸 깨닫는다,오늘 우선순위 재배치 지금은 급한 일과 중요한 일을 다시 나눠 순서를 고친다,오늘의 첫 번째 일이 분명해진다,"[""work"", ""planning"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
